型式,行政區,場名,位置,大車,小車,機車,收費標準,管理業者,聯絡電話,履約起迄
平面,甲仙區,"林森
(甲仙)","A區：林森路70號旁(18格)
B區：林森路75號旁(17格)",0,35,0,-,,,
平面,杉林區,大愛園區,"A區:清水路中學巷萊爾富大愛店旁(14格)
B區:和氣街二巷1號對面(40格)
C區:合心路與互愛街口(66格)",27,120,0,-,環球大宇宙太陽能工業有限公司,0980889269,110/06/01～120/04/30
平面,美濃區,泰安,"A區：建美路與泰安路交口(61格)
B區：建美路與中山路一段交口(45格)",10,106,13,小車計次(30元/6小時),,,
平面,旗山區,旗山轉運站,旗山轉運站旁,0,15,177,"機車計次(15元/日)
小車計次(30元/6小時)",和雲行動服務股份有限公司,(02)25171453,109/04/01～114/03/31
平面,旗山區,旗山體育場,旗山體育場旁,0,20,0,"小車平日計次(30元/6小時)
小車假日計時(15元/半小時)",,,
平面,旗山區,旗山老街觀光,延平一路307巷59號對面河堤外,0,300,0,-,,,
平面,大樹區,舊鐵橋,舊鐵橋濕地生態公園園區內西北側,0,154,0,小車計次(30元/6小時),,,
平面,大樹區,統嶺社區,"北側：佛光山寺對面(482格)
南側：佛光山寺對面(1116格)",0,1598,0,"小車平日計次(30元/6小時)
小車假日計時(15元/半小時)","佛光山寺
(公益認養)",,
平面,大樹區,九曲堂,久堂路、新社街,0,46,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,阿蓮區,如意公園,台19甲大崗山意象園區入口,10,265,187,不收費,俥亭事業股份有限公司,(07)6989439,
平面,阿蓮區,南連,消防局第五大隊第一中隊阿蓮分隊旁邊,0,26,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,
平面,阿蓮區,德宜,文學一街與成功街(柏園公園隔壁),0,36,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,
平面,湖內區,長壽,長壽路128號對面,0,28,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,
立體,茄萣區,"興達港
(地上)",民族路51號,0,140,0,小車計時(5元/半小時),俥亭事業股份有限公司,(07)6989439,108/12/17～112/09/30
平面,茄萣區,金興,金鑾路、仁愛路,0,142,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,112/01/01～116/12/31
平面,茄萣區,興達,大發路(興達觀光漁市旁),15,140,0,"小車計次(50元/6小時)
大車計次(100元/6小時)",俥亭事業股份有限公司,(07)6989640,108/10/01～112/09/30
平面,茄萣區,崎漏,濱海路一段與建興街交口,0,41,0,-,全盈光電有限公司,0800035518,111/09/01～121/07/31
平面,燕巢區,燕北,中北路238巷27-1號對面,0,24,0,-,,,
平面,路竹區,民富,民強街及民富街交叉口,0,34,37,小車計次(30元/6小時),環球大宇宙太陽能工業有限公司,0980889269,110/06/01～120/04/30
平面,路竹區,竹東,中正路106號對面,0,34,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,
平面,路竹區,延平,延平路170號旁,0,42,0,小車計次(30元/6小時),俥亭事業股份有限公司,(07)6989439,
平面,永安區,烏樹林,永安路一巷，永安宮廣場隔壁,0,12,0,-,俥亭事業股份有限公司,(07)6989439,
平面,大社區,"自強街
(大社停一)",區公所對面；自強街上,0,28,0,小車計次(30元/6小時),,,
平面,大社區,觀音山,翠屏路108巷及鹽埕巷交叉路口,0,108,26,小車假日計次(50元/6小時),,,
立體,岡山區,"岡山
(地上)",岡山區大仁北路3號,0,154,0,小車計次(20元/8小時),,(07)6214039,
平面,岡山區,岡山平面,岡山路&民有路口,0,177,59,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
平面,岡山區,岡山戶政旁,岡山路345巷1號旁,0,57,0,小車計時(15元/半小時),竑穗興業股份有限公司,(07)2239489,111/02/01～116/01/31
平面,岡山區,中華路圓環,中華路與民族路交岔口西北側,0,20,0,小車計次(30元/6小時),竑穗興業股份有限公司,(07)2239489,110/10/01～115/09/30
